SKU,CustomsDescription,CustomsTariffNo,CustomsCountry
DOT-BTC-H70,Notebook (bound journal),4820102060,CA
DOT-CHB-H70,Notebook (bound journal),4820102060,CA
DOT-AST-H70,Notebook (bound journal),4820102060,CA
DOT-ENF-H70,Notebook (bound journal),4820102060,CA
DOT-FWN-H70,Notebook (bound journal),4820102060,CA
DOT-MON-H70,Notebook (bound journal),4820102060,CA
DOT-MOS-H70,Notebook (bound journal),4820102060,CA
DOT-RIV-H70,Notebook (bound journal),4820102060,CA
DOT-SCO-H70,Notebook (bound journal),4820102060,CA
DOT-SNP-H70,Notebook (bound journal),4820102060,CA
DOT-WDI-H70,Notebook (bound journal),4820102060,CA
DOT-WDL-H70,Notebook (bound journal),4820102060,CA
DOT-CHB-P15,Notebook (bound journal),4820102060,CA
DOT-MOS-P15,Notebook (bound journal),4820102060,CA
DOT-RIV-P15,Notebook (bound journal),4820102060,CA
DOT-SCA-P15,Notebook (bound journal),4820102060,CA
DOT-CHB-PF7,Notebook (bound journal),4820102060,CA
DOT-MOS-PF7,Notebook (bound journal),4820102060,CA
DOT-RIV-PF7,Notebook (bound journal),4820102060,CA
DOT-SCA-PF7,Notebook (bound journal),4820102060,CA
NP-DO,Notepad,4820102020,CA
INS-CL-DOT-DIS,Planner inserts (loose refills),4820900000,CA
INS-DB-HL-DOT-DIS,Planner inserts (loose refills),4820900000,CA
INS-A5-DOT-RIN,Planner inserts (loose refills),4820900000,CA
STK-HDR,Paper sticker,4911998000,CA
STK-LKS,Paper sticker,4911998000,CA
STK-SPN,Paper sticker,4911998000,CA
STK-FIN-SMT,Paper sticker,4911998000,CA
NBD-SP-24-A5-DA-FLR,Notebook (bound journal),4820102060,CA
NBD-SP-24-B5-DA-FLR,"Notebook (sewn journal, B5 size)",4820102030,CA
NBD-SP-24-TN-DA-FLR,Notebook (bound journal),4820102060,CA
NBD-SP-24-A5-JP-FLR,Notebook (bound journal),4820102060,CA
NBD-SP-24-B5-JP-FLR,"Notebook (sewn journal, B5 size)",4820102030,CA
